iter	Passed	Remaining
0	224	112112
1	256	63944
2	290	48164
3	317	39311
4	356	35298
5	383	31581
6	413	29144
7	437	26889
8	458	25036
9	486	23837
10	510	22676
11	535	21778
12	583	21862
13	612	21267
14	649	20993
15	678	20524
16	703	19980
17	727	19484
18	759	19227
19	782	18781
20	804	18353
21	842	18315
22	866	17963
23	887	17609
24	913	17360
25	936	17079
26	960	16832
27	992	16732
28	1059	17212
29	1087	17032
30	1113	16852
31	1148	16791
32	1185	16782
33	1212	16611
34	1243	16515
35	1269	16360
36	1291	16158
37	1313	15972
38	1338	15826
39	1360	15650
40	1413	15824
41	1458	15904
42	1485	15784
43	1510	15652
44	1537	15544
45	1574	15535
46	1597	15398
47	1620	15262
48	1656	15244
49	1678	15109
50	1701	14976
51	1721	14835
52	1743	14703
53	1767	14596
54	1793	14507
55	1836	14559
56	1876	14581
57	2017	15371
58	2054	15355
59	2081	15262
60	2108	15172
61	2133	15069
62	2156	14956
63	2177	14837
64	2210	14790
65	2235	14701
66	2257	14586
67	2288	14536
68	2319	14491
69	2351	14444
70	2382	14393
71	2412	14342
72	2434	14237
73	2465	14193
74	2489	14108
75	2512	14018
76	2535	13927
77	2556	13830
78	2584	13770
79	2620	13759
80	2668	13805
81	2695	13740
82	2720	13667
83	2755	13645
84	2785	13600
85	2811	13533
86	2836	13466
87	2867	13423
88	2889	13345
89	2914	13275
90	2938	13208
91	2959	13125
92	2980	13041
93	3009	12997
94	3042	12970
95	3070	12922
96	3104	12899
97	3128	12831
98	3154	12776
99	3179	12716
100	3205	12663
101	3230	12606
102	3255	12549
103	3288	12521
104	3312	12462
105	3335	12398
106	3359	12337
107	3382	12277
108	3407	12221
109	3434	12177
110	3463	12138
111	3490	12092
112	3535	12107
113	3566	12076
114	3589	12016
115	3615	11969
116	3646	11937
117	3671	11884
118	3704	11860
119	3725	11798
120	3746	11735
121	3769	11679
122	3792	11622
123	3814	11566
124	3843	11529
125	3877	11509
126	3919	11511
127	3947	11471
128	3971	11421
129	4001	11388
130	4057	11427
131	4083	11384
132	4124	11381
