reading_accuracy,word_omission_count,pronunciation_error_count,reading_speed_wpm,risk_label
76.19047619047619,25.0,25.0,49.079754601227,Low
83.60655737704919,30.0,30.0,56.25,Low
75.69444444444444,35.0,35.0,45.9915611814346,Medium
54.6875,29.0,29.0,41.17647058823529,Medium
75.35211267605634,35.0,35.0,44.95798319327732,Medium
76.51515151515152,31.0,31.0,44.888888888888886,Medium
76.64233576642336,32.0,32.0,47.72727272727273,Low
71.23287671232876,21.0,21.0,37.410071942446045,Medium
76.92307692307693,21.0,21.0,41.76470588235294,Medium
80.66666666666666,29.0,29.0,46.71814671814672,Low
73.01587301587301,17.0,17.0,34.32835820895522,Medium
69.82758620689656,70.0,70.0,47.50733137829912,Medium
49.645390070921984,71.0,71.0,28.57142857142857,High
87.39495798319328,15.0,15.0,52.52525252525253,Low
85.5072463768116,10.0,10.0,42.7536231884058,Low
81.25,18.0,18.0,51.31578947368421,Low
72.95081967213115,33.0,33.0,41.78403755868544,Medium
54.736842105263165,43.0,43.0,31.901840490797547,Medium
82.14285714285714,30.0,30.0,55.25291828793775,Low
58.620689655172406,36.0,36.0,32.48407643312102,Medium
81.14754098360656,23.0,23.0,46.69811320754717,Low
79.28571428571428,29.0,29.0,48.05194805194805,Low
83.51648351648352,15.0,15.0,47.5,Low
79.2,26.0,26.0,45.83333333333333,Low
80.0,17.0,17.0,41.46341463414634,Low
61.36363636363637,68.0,68.0,39.00709219858156,Medium
68.79432624113475,44.0,44.0,44.29223744292237,Medium
60.36866359447005,86.0,86.0,41.98717948717949,Medium
77.08333333333334,22.0,22.0,51.03448275862069,Low
84.32835820895522,21.0,21.0,50.67264573991032,Low
77.55102040816327,44.0,44.0,52.0,Low
82.20338983050848,21.0,21.0,47.3170731707317,Low
88.52459016393442,14.0,14.0,52.6829268292683,Low
69.56521739130434,42.0,42.0,41.92139737991266,Medium
64.34782608695652,41.0,41.0,36.27450980392157,Medium
73.68421052631578,30.0,30.0,48.0,Medium
81.25,21.0,21.0,48.69109947643979,Low
78.83597883597884,40.0,40.0,55.55555555555556,Low
82.39999999999999,22.0,22.0,46.60633484162896,Low
29.714285714285715,246.0,246.0,24.074074074074076,High
84.57142857142857,27.0,27.0,56.060606060606055,Low
86.41304347826086,25.0,25.0,55.78947368421052,Low
69.02173913043478,57.0,57.0,44.59016393442623,Medium
82.02764976958525,39.0,39.0,56.507936507936506,Low
91.35802469135804,14.0,14.0,59.67741935483871,Low
92.04545454545456,14.0,14.0,61.13207547169811,Low
74.39024390243902,42.0,42.0,47.28682170542636,Medium
41.04477611940299,79.0,79.0,25.70093457943925,High
88.28828828828829,26.0,26.0,56.97674418604651,Low
78.78787878787878,35.0,35.0,47.5177304964539,Low
78.94736842105263,32.0,32.0,50.98814229249013,Low
89.23076923076924,14.0,14.0,62.61682242990653,Low
78.125,28.0,28.0,46.948356807511736,Low
81.87134502923976,31.0,31.0,54.054054054054056,Low
90.68627450980392,19.0,19.0,62.5,Low
87.95811518324608,23.0,23.0,56.375838926174495,Low
80.28169014084507,28.0,28.0,51.35135135135135,Low
68.13186813186813,58.0,58.0,43.81625441696113,Medium
90.69767441860463,16.0,16.0,59.55056179775281,Low
80.8080808080808,38.0,38.0,55.94405594405595,Low
83.66013071895425,25.0,25.0,54.70085470085471,Low
59.307359307359306,94.0,94.0,39.03133903133903,Medium
73.94366197183099,37.0,37.0,42.0,Medium
31.448763250883395,194.0,194.0,19.646799116997794,High
63.30935251798561,51.0,51.0,39.130434782608695,Medium
79.08496732026144,32.0,32.0,60.81632653061224,Low
83.4319526627219,28.0,28.0,54.65116279069767,Low
76.47058823529412,24.0,24.0,39.795918367346935,Medium
57.23684210526315,65.0,65.0,37.5,Medium
85.02994011976048,25.0,25.0,51.63636363636363,Low
76.22377622377621,34.0,34.0,47.410358565737056,Low
70.50359712230215,41.0,41.0,44.34389140271493,Medium
81.25,15.0,15.0,42.76315789473684,Low
23.322147651006716,457.0,457.0,18.30065359477124,High
80.0,19.0,19.0,45.50898203592814,Low
76.13636363636364,21.0,21.0,42.94871794871795,Medium
71.9298245614035,32.0,32.0,43.85026737967914,Medium
77.6595744680851,21.0,21.0,41.95402298850575,Medium
66.66666666666666,36.0,36.0,40.909090909090914,Medium
85.25641025641025,23.0,23.0,54.50819672131148,Low
79.19463087248322,31.0,31.0,49.16666666666666,Low
83.76068376068376,19.0,19.0,50.51546391752577,Low
72.07792207792207,43.0,43.0,41.090909090909086,Medium
80.0,25.0,25.0,48.30917874396136,Low
68.54838709677419,39.0,39.0,40.09216589861751,Medium
83.33333333333334,17.0,17.0,50.0,Low
70.06802721088435,44.0,44.0,45.65217391304348,Medium
73.77049180327869,32.0,32.0,43.75,Medium
63.91752577319587,35.0,35.0,37.80487804878049,Medium
91.47286821705426,11.0,11.0,53.88127853881278,Low
90.0,13.0,13.0,55.45023696682464,Low
80.35714285714286,22.0,22.0,46.15384615384615,Low
90.17857142857144,11.0,11.0,51.7948717948718,Low
81.41025641025641,29.0,29.0,50.98039215686274,Low
71.5909090909091,25.0,25.0,42.85714285714285,Medium
84.61538461538461,14.0,14.0,47.90419161676647,Low
72.3404255319149,26.0,26.0,44.15584415584416,Medium
72.05882352941177,19.0,19.0,37.40458015267176,Medium
34.65346534653465,66.0,66.0,20.958083832335326,High
73.33333333333333,32.0,32.0,43.34975369458128,Medium
85.04672897196261,16.0,16.0,46.42857142857143,Low
81.57894736842105,21.0,21.0,52.24719101123596,Low
73.72262773722628,36.0,36.0,44.888888888888886,Medium
84.33734939759037,26.0,26.0,57.37051792828686,Low
70.39999999999999,37.0,37.0,39.81900452488688,Medium
80.2547770700637,31.0,31.0,48.46153846153846,Low
54.92227979274611,87.0,87.0,37.89473684210527,Medium
80.95238095238095,20.0,20.0,47.48603351955308,Low
82.05128205128204,21.0,21.0,47.76119402985074,Low
60.909090909090914,43.0,43.0,36.81318681318682,Medium
86.72566371681415,15.0,15.0,53.2608695652174,Low
60.0,60.0,60.0,39.47368421052632,Medium
64.35643564356435,36.0,36.0,38.23529411764706,Medium
82.73381294964028,24.0,24.0,50.62761506276152,Low
65.57377049180327,42.0,42.0,41.45077720207254,Medium
79.81651376146789,22.0,22.0,47.82608695652174,Low
83.75,13.0,13.0,45.57823129251701,Low
81.203007518797,25.0,25.0,48.888888888888886,Low
83.82352941176471,22.0,22.0,51.55555555555556,Low
60.14492753623188,55.0,55.0,39.90384615384615,Medium
80.0,31.0,31.0,50.81967213114754,Low
69.71830985915493,43.0,43.0,44.01709401709402,Medium
82.29166666666666,17.0,17.0,46.74556213017752,Low
74.25742574257426,26.0,26.0,43.333333333333336,Medium
74.46808510638297,48.0,48.0,44.61538461538462,Medium
72.38095238095238,58.0,58.0,52.64900662251656,Medium
73.96449704142012,44.0,44.0,49.6124031007752,Medium
80.91603053435115,25.0,25.0,46.69603524229075,Low
70.74829931972789,43.0,43.0,47.16157205240175,Medium
82.70676691729322,23.0,23.0,50.69124423963134,Low
84.48275862068965,27.0,27.0,53.2608695652174,Low
71.02803738317756,31.0,31.0,46.913580246913575,Medium
89.77272727272727,9.0,9.0,50.318471337579616,Low
61.832061068702295,50.0,50.0,38.94230769230769,Medium
71.9298245614035,32.0,32.0,42.05128205128205,Medium
83.00653594771242,26.0,26.0,55.21739130434783,Low
72.99270072992701,37.0,37.0,44.44444444444444,Medium
62.74509803921568,38.0,38.0,41.02564102564102,Medium
68.75,30.0,30.0,39.52095808383233,Medium
64.76190476190476,37.0,37.0,42.5414364640884,Medium
62.58992805755396,52.0,52.0,39.64757709251101,Medium
81.19658119658119,22.0,22.0,48.22335025380711,Low
74.30555555555556,37.0,37.0,47.58064516129033,Medium
50.0,62.0,62.0,30.88235294117647,High
82.5,28.0,28.0,54.32098765432099,Low
76.38888888888889,34.0,34.0,40.59040590405904,Medium
76.96969696969697,38.0,38.0,50.39682539682539,Low
83.92857142857143,18.0,18.0,48.95833333333333,Low
83.72093023255815,21.0,21.0,54.929577464788736,Low
59.171597633136095,69.0,69.0,38.75968992248063,Medium
75.0,26.0,26.0,44.6927374301676,Medium
80.98591549295774,27.0,27.0,50.21834061135371,Low
66.12903225806451,42.0,42.0,38.31775700934579,Medium
71.05263157894737,33.0,33.0,41.089108910891085,Medium
76.0,18.0,18.0,44.881889763779526,Medium
83.65384615384616,17.0,17.0,44.61538461538462,Low
56.8,54.0,54.0,34.63414634146341,Medium
71.05263157894737,33.0,33.0,40.0990099009901,Medium
77.86259541984732,29.0,29.0,49.275362318840585,Low
43.69747899159664,67.0,67.0,27.368421052631582,High
81.81818181818183,18.0,18.0,46.36871508379888,Low
75.67567567567568,18.0,18.0,41.7910447761194,Medium
72.22222222222221,35.0,35.0,44.1747572815534,Medium
88.53211009174312,25.0,25.0,60.12461059190031,Low
85.59322033898306,34.0,34.0,63.58381502890174,Low
83.98268398268398,37.0,37.0,58.67052023121387,Low
83.73983739837398,40.0,40.0,59.36599423631124,Low
61.19402985074627,52.0,52.0,40.0,Medium
72.36842105263158,42.0,42.0,47.61904761904761,Medium
73.01587301587301,34.0,34.0,44.87804878048781,Medium
87.83783783783784,27.0,27.0,62.38532110091744,Low
39.37823834196891,117.0,117.0,27.94117647058824,High
91.10169491525424,21.0,21.0,63.45609065155807,Low
82.75862068965517,35.0,35.0,56.56565656565656,Low
22.818791946308725,115.0,115.0,15.625,High
88.88888888888889,26.0,26.0,60.46511627906976,Low
55.64516129032258,55.0,55.0,36.31578947368421,Medium
33.85416666666667,127.0,127.0,25.547445255474454,High
75.0,21.0,21.0,41.44736842105263,Medium
76.72955974842768,37.0,37.0,48.031496062992126,Low
76.04166666666666,23.0,23.0,47.77070063694268,Low
59.67741935483871,75.0,75.0,38.94736842105263,Medium
68.42105263157895,48.0,48.0,42.44897959183673,Medium
59.70149253731343,81.0,81.0,38.961038961038966,Medium
77.5,45.0,45.0,49.36305732484077,Low
75.72254335260115,42.0,42.0,49.25373134328358,Low
76.5432098765432,38.0,38.0,45.92592592592592,Medium
72.02380952380952,47.0,47.0,40.19933554817276,Medium
62.85714285714285,52.0,52.0,37.5,Medium
87.02290076335878,17.0,17.0,52.77777777777778,Low
87.77292576419214,28.0,28.0,59.46745562130178,Low
84.57142857142857,27.0,27.0,56.16438356164384,Low
82.83261802575107,40.0,40.0,60.51136363636363,Low
77.61194029850746,15.0,15.0,39.39393939393939,Medium
33.80281690140845,94.0,94.0,22.53521126760564,High
74.59016393442623,31.0,31.0,44.6078431372549,Medium
79.28571428571428,29.0,29.0,53.45622119815668,Low
83.09859154929578,24.0,24.0,56.25,Low
59.15492957746479,58.0,58.0,39.14893617021277,Medium
67.85714285714286,45.0,45.0,46.009389671361504,Medium
51.26582278481012,77.0,77.0,31.27413127413127,High
71.97802197802197,51.0,51.0,45.32871972318339,Medium
74.50980392156863,52.0,52.0,49.673202614379086,Low
89.81481481481481,11.0,11.0,56.4245810055866,Low
72.1311475409836,51.0,51.0,43.278688524590166,Medium
63.42857142857142,64.0,64.0,38.4083044982699,Medium
76.27118644067797,28.0,28.0,43.47826086956522,Medium
86.62420382165605,21.0,21.0,54.96183206106871,Low
77.5,36.0,36.0,53.125,Low
85.62091503267973,22.0,22.0,55.10204081632652,Low
77.77777777777779,36.0,36.0,48.09160305343512,Low
70.33898305084746,35.0,35.0,44.221105527638194,Medium
64.82758620689654,51.0,51.0,39.58333333333333,Medium
68.8,39.0,39.0,45.5026455026455,Medium
67.72151898734177,51.0,51.0,41.31274131274132,Medium
67.66917293233082,43.0,43.0,38.297872340425535,Medium
77.46478873239437,32.0,32.0,48.03493449781659,Low
80.76923076923077,25.0,25.0,49.76744186046512,Low
84.67741935483872,19.0,19.0,50.480769230769226,Low
56.95364238410596,65.0,65.0,38.73873873873874,Medium
75.1937984496124,32.0,32.0,46.19047619047619,Medium
80.3921568627451,20.0,20.0,47.12643678160919,Low
65.97938144329896,33.0,33.0,38.095238095238095,Medium
70.23809523809523,25.0,25.0,39.86486486486486,Medium
71.27659574468085,27.0,27.0,40.23668639053255,Medium
88.96103896103897,17.0,17.0,55.020080321285135,Low
61.62162162162163,71.0,71.0,36.774193548387096,Medium
76.84210526315789,44.0,44.0,52.38095238095239,Low
52.459016393442624,58.0,58.0,30.046948356807512,High
73.41040462427746,46.0,46.0,46.86346863468634,Medium
60.60606060606061,52.0,52.0,34.63203463203463,Medium
77.23577235772358,28.0,28.0,47.783251231527096,Low
40.2439024390244,98.0,98.0,26.4,High
76.8,29.0,29.0,46.15384615384615,Low
58.72093023255815,71.0,71.0,36.996336996337,Medium
85.11904761904762,25.0,25.0,57.42971887550201,Low
58.92857142857143,46.0,46.0,32.35294117647059,Medium
85.27131782945736,19.0,19.0,50.2283105022831,Low
90.85714285714286,16.0,16.0,66.02316602316603,Low
74.83870967741936,39.0,39.0,48.828125,Low
79.45945945945945,38.0,38.0,56.56934306569343,Low
18.666666666666668,122.0,122.0,13.744075829383888,High
85.22167487684729,30.0,30.0,63.84364820846905,Low
38.34808259587021,209.0,209.0,29.6127562642369,High
42.12765957446808,136.0,136.0,30.275229357798167,High
59.22330097087378,42.0,42.0,35.05747126436782,Medium
84.8780487804878,31.0,31.0,57.65472312703584,Low
78.0701754385965,25.0,25.0,48.10810810810811,Low
66.94915254237289,39.0,39.0,42.02127659574468,Medium
45.77114427860697,109.0,109.0,32.97491039426524,High
65.78947368421053,39.0,39.0,41.2087912087912,Medium
82.75862068965517,25.0,25.0,50.2092050209205,Low
78.1021897810219,30.0,30.0,48.24561403508772,Low
58.85714285714285,72.0,72.0,37.86764705882353,Medium
74.6268656716418,34.0,34.0,46.728971962616825,Medium
87.5,16.0,16.0,53.333333333333336,Low
70.33898305084746,35.0,35.0,40.68627450980392,Medium
50.56818181818182,87.0,87.0,34.23076923076923,High
59.18367346938776,40.0,40.0,32.04419889502763,Medium
40.909090909090914,78.0,78.0,26.21359223300971,High
42.77777777777778,103.0,103.0,26.73611111111111,High
64.83516483516483,32.0,32.0,37.10691823899371,Medium
57.2463768115942,59.0,59.0,35.74660633484163,Medium
47.26027397260274,77.0,77.0,29.74137931034483,High
47.20496894409938,85.0,85.0,30.0395256916996,High
30.74712643678161,241.0,241.0,23.568281938325992,High
78.74015748031496,27.0,27.0,47.61904761904761,Low
68.0672268907563,38.0,38.0,46.02272727272727,Medium
61.02941176470589,53.0,53.0,37.66816143497758,Medium
80.26315789473685,30.0,30.0,49.59349593495935,Low
67.63005780346822,56.0,56.0,42.85714285714285,Medium
74.30555555555556,37.0,37.0,44.95798319327732,Medium
64.02877697841727,50.0,50.0,38.69565217391304,Medium
41.32231404958678,71.0,71.0,24.752475247524757,High
54.34782608695652,84.0,84.0,35.97122302158273,Medium
42.64705882352941,39.0,39.0,26.85185185185185,High
71.76470588235294,24.0,24.0,41.49659863945578,Medium
57.06214689265536,76.0,76.0,36.86131386861314,Medium
66.66666666666666,24.0,24.0,40.67796610169492,Medium
47.27272727272727,58.0,58.0,28.415300546448087,High
63.52941176470588,31.0,31.0,36.48648648648648,Medium
71.7948717948718,11.0,11.0,32.94117647058823,Medium
62.37623762376238,38.0,38.0,37.278106508875744,Medium
67.12328767123287,24.0,24.0,37.69230769230769,Medium
58.77192982456141,47.0,47.0,32.367149758454104,Medium
69.40298507462687,41.0,41.0,45.28301886792453,Medium
70.2127659574468,28.0,28.0,39.05325443786983,Medium
48.888888888888886,46.0,46.0,28.387096774193548,High
39.45945945945946,112.0,112.0,24.496644295302016,High
26.495726495726498,172.0,172.0,23.717948717948715,High
40.41095890410959,87.0,87.0,24.89451476793249,High
62.5,30.0,30.0,30.8641975308642,Medium
72.3076923076923,36.0,36.0,42.53393665158371,Medium
73.42657342657343,38.0,38.0,44.680851063829785,Medium
79.33333333333333,31.0,31.0,50.42372881355932,Low
69.23076923076923,24.0,24.0,38.0281690140845,Medium
64.1025641025641,42.0,42.0,37.3134328358209,Medium
72.3404255319149,39.0,39.0,40.47619047619048,Medium
56.75675675675676,48.0,48.0,34.806629834254146,Medium
46.15384615384615,77.0,77.0,28.695652173913043,High
56.52173913043478,40.0,40.0,32.098765432098766,Medium
41.08527131782946,76.0,76.0,24.76635514018692,High
61.36363636363637,34.0,34.0,42.40506329113924,Medium
62.10526315789474,36.0,36.0,33.146067415730336,Medium
33.33333333333333,74.0,74.0,20.32967032967033,High
71.30434782608695,33.0,33.0,41.83673469387755,Medium
72.15189873417721,22.0,22.0,34.756097560975604,Medium
57.831325301204814,35.0,35.0,33.10344827586207,Medium
79.51807228915662,17.0,17.0,42.038216560509554,Low
44.5945945945946,82.0,82.0,28.448275862068968,High
80.26315789473685,15.0,15.0,46.21212121212121,Low
67.85714285714286,36.0,36.0,42.22222222222222,Medium
43.66197183098591,80.0,80.0,25.6198347107438,High
71.9298245614035,32.0,32.0,42.05128205128205,Medium
79.05759162303664,40.0,40.0,63.63636363636363,Low
68.25396825396825,20.0,20.0,36.134453781512605,Medium
80.18867924528303,21.0,21.0,46.19565217391305,Low
83.23353293413174,28.0,28.0,50.91575091575091,Low
89.77272727272727,18.0,18.0,55.830388692579504,Low
83.6842105263158,31.0,31.0,56.98924731182796,Low
75.51020408163265,36.0,36.0,45.30612244897959,Medium
68.29268292682927,39.0,39.0,43.52331606217616,Medium
57.49999999999999,34.0,34.0,30.666666666666664,Medium
49.65986394557823,74.0,74.0,34.92822966507177,High
37.15846994535519,115.0,115.0,26.5625,High
50.53763440860215,46.0,46.0,31.543624161073826,High
70.55837563451777,58.0,58.0,40.76246334310851,Medium
53.65853658536586,57.0,57.0,31.27962085308057,Medium
85.71428571428571,21.0,21.0,52.5,Low
89.9497487437186,20.0,20.0,63.76306620209059,Low
61.65413533834586,51.0,51.0,36.60714285714285,Medium
76.41509433962264,25.0,25.0,46.02272727272727,Medium
61.41732283464568,49.0,49.0,36.44859813084112,Medium
58.13953488372093,108.0,108.0,38.265306122448976,Medium
66.66666666666666,28.0,28.0,32.748538011695906,Medium
77.86259541984732,29.0,29.0,47.88732394366197,Low
86.52482269503547,19.0,19.0,51.91489361702127,Low
80.9090909090909,21.0,21.0,44.94949494949495,Low
71.42857142857143,48.0,48.0,43.32129963898917,Medium
85.5072463768116,20.0,20.0,54.377880184331794,Low
90.98360655737704,11.0,11.0,52.60663507109005,Low
82.01438848920863,25.0,25.0,48.71794871794872,Low
78.39506172839506,35.0,35.0,50.19762845849802,Low
76.2589928057554,33.0,33.0,49.07407407407408,Low
83.62068965517241,19.0,19.0,54.123711340206185,Low
71.8232044198895,51.0,51.0,47.27272727272727,Medium
82.56410256410255,34.0,34.0,54.57627118644067,Low
84.83412322274881,32.0,32.0,54.21686746987952,Low
76.42857142857142,33.0,33.0,48.9451476793249,Low
80.24691358024691,32.0,32.0,45.45454545454545,Low
83.33333333333334,23.0,23.0,53.73831775700935,Low
72.41379310344827,48.0,48.0,46.15384615384615,Medium
72.89719626168224,29.0,29.0,41.8848167539267,Medium
81.08108108108108,28.0,28.0,49.18032786885246,Low
86.01036269430051,27.0,27.0,58.45070422535211,Low
85.79881656804734,24.0,24.0,56.86274509803921,Low
81.45695364238411,28.0,28.0,50.40983606557376,Low
67.3076923076923,34.0,34.0,40.0,Medium
69.89247311827957,56.0,56.0,46.59498207885305,Medium
85.51724137931035,21.0,21.0,53.21888412017167,Low
82.70270270270271,32.0,32.0,59.62962962962963,Low
75.0,35.0,35.0,56.82819383259912,Low
85.16129032258064,23.0,23.0,52.17391304347826,Low
